Category,Name,Address,ID
مجمعات اعلام,اتحاد الشرطة الرياضى - القاهرة,"ش صك العملة, الدراسة, القاهرة.",117841
مجمعات اعلام,اتحاد المحامين العرب,"13 ش اتحاد المحامين العرب, جاردن سيتى, القاهرة.",117970
مجمعات اعلام,اتحاد جمعيات التنمية الادارية,"2 ش الشواربى, وسط البلد, القاهرة.",381433
مجمعات اعلام,اتحاد طلاب الجامعة - جامعة الاسكندرية,"طريق الحرية, الحضرة, الاسكندرية.",378956
مجمعات اعلام,اتحاد كتاب مصر,"11 أ ش حسن صبرى, الزمالك, القاهرة.",117821
مجمعات اعلام,ادارة العمليات الخاصة,"ش المرور, الدراسة, القاهرة.",381417
مجمعات اعلام,اكاديمية البحث العلمى والتكنولوجيا,"101 ش قصر العينى, قصر العينى, القاهرة.",45259
مجمعات اعلام,اكاديمية السادات للعلوم الادارية,"14 ش رمسيس, وسط البلد, القاهرة.",383896
مجمعات اعلام,الاتحاد الاقليمى للجمعيات والمؤسسات الاهلية,"46 فيلا الحوفى - ش المقريزى, دمنهور, البحيرة.",379584
مجمعات اعلام,الاتحاد الاقليمى للجمعيات والمؤسسات الاهلية,"1 عمارات الاوقاف - ش الاوقاف تقاطع ش المدارس, طنطا, الغربية.",380578
مجمعات اعلام,الاتحاد العام للصحفيين العرب,"22 ش طلعت حرب - الدور 10, وسط البلد, القاهرة.",66501
مجمعات اعلام,الاتحاد العام لنقابات عمال مصر,"90 ش الجلاء - رمسيس, وسط البلد, القاهرة.",101093
مجمعات اعلام,الادارة العامة للتنظيم,"44 ش المساحة, الدقى, الجيزة.",379692
مجمعات اعلام,الادارة المركزية للتدريب,"7 ش نادى الصيد, الدقى, الجيزة.",379958
مجمعات اعلام,الجمعية الاسلامية للخدمات الاجتماعية,"طريق طنطا - قرية الهياتم, المحلة الكبرى, الغربية.",380579
مجمعات اعلام,الجمعية التعاونية لتنمية الثروة الحيوانية,"قرية ابشواى, قطور, الغربية.",381466
مجمعات اعلام,الجمعية الخيرية,"ش جامع النور, وادى النطرون, البحيرة.",179219
مجمعات اعلام,الجمعية الخيرية الاسلامية,"ش المسجد البحرى, السنبلاوين, الدقهلية.",380181
مجمعات اعلام,الجمعية الخيرية الاسلامية,"ش الجمهورية, ديروط, اسيوط.",375652
مجمعات اعلام,الجمعية الشرعية لتعاون العاملين بالكتاب والسنة المحمدية,"ش د. سعيد الشون, المحلة الكبرى, الغربية.",380574
مجمعات اعلام,الجمعية العامة للادارة والتنظيم,"3 ش بورسعيد - ارض الحرية, بنى سويف, بنى سويف.",359560
مجمعات اعلام,الجمعية العامة للجمعيات النسائية لتحسين الصحة,"29 ش الشيخ ريحان, عابدين, القاهرة.",225123
مجمعات اعلام,الجمعية العربية للتربية الاسلامية,"., وادى النطرون, البحيرة.",382341
مجمعات اعلام,الجمعية العلمية,"., الخارجة, الوادى الجديد.",383651
مجمعات اعلام,الجمعية المصرية العامة لحماية الاطفال,"ش اسماعيل صدقى, دمنهور, البحيرة.",382336
مجمعات اعلام,الجمعية المصرية لطب الاطفال,"ارض المدبح, السيدة زينب, القاهرة.",381244
مجمعات اعلام,الجمعية المصرية للتنمية الانسانية,"1 ش احمد عطاوية, النزهة الجديدة, القاهرة.",161065
مجمعات اعلام,الجمعية النسائية لتحسين الصحة,"6 ش كوم امبو, ميدان المحكمة, مصر الجديدة, القاهرة.",117084
مجمعات اعلام,الجمعية النسائية لتحسين الصحة,"38 ش السماد - الحكروب, وسط البلد, اسوان.",117314
مجمعات اعلام,الجمعية النسائية لتحسين الصحة,"ش مدرسة الصنايع, الاقصر, الاقصر.",379173
مجمعات اعلام,الجمعية النسائية لتحسين الصحة,"ش صبرى ابو علم, شبين الكوم, المنوفية.",382533
مجمعات اعلام,الجمعية النسائية لتحسين الصحة - الزقازيق,"58 ش مجمع المصالح الحكومية, الزقازيق, الشرقية.",117218
مجمعات اعلام,الجمعية النسائية لتحسين الصحة - الفيوم,"ش احمد شوقى, منشأة لطف الله, الفيوم.",117233
مجمعات اعلام,الجمعية النسائية لتحسين الصحة - بورسعيد,"ش كسرى, حى المناخ, بور سعيد.",117318
مجمعات اعلام,الجمعية النسائية لتحسين الصحة - دمنهور,"ش الشاذلى, دمنهور, البحيرة.",117156
مجمعات اعلام,الجمعية النسائية لرعاية الاسرة والطفل - الحسينية,"ش المركز, الحسينية, الشرقية.",117398
مجمعات اعلام,الرابطة العالمية لخريجى الازهر - جامعة الازهر,"1 ش المخيم الدائم, مدينة نصر, القاهرة.",381416
مجمعات اعلام,الغرفة التجارية - الشرقية,"10 ش مدرسة الامريكان, الزقازيق, الشرقية.",112984
مجمعات اعلام,القرية الذكية,"كم 28 - طريق القاهرة اسكندرية الصحراوى, ابو رواش, الجيزة.",54194
مجمعات اعلام,المؤسسة التنموية لتمكين ذوى الاحتياجات الخاصة,"3 أ ش الكمال, حلمية الزيتون, القاهرة.",383914
مجمعات اعلام,المؤسسة الثقافية العالمية - الجامعة العمالية,"6 طريق النصر, مدينة نصر, القاهرة.",381966
مجمعات اعلام,المجلس القومى للمرأة,"ش الشيخ زايد, الشيخ زايد, الاسماعيلية.",382051
مجمعات اعلام,المدينة الجامعية للطالبات - جامعة القاهرة,"., الجيزة, الجيزة.",221725
مجمعات اعلام,المدينة الجامعية للطالبات - جامعة عين شمس,"9 ش احمد تيسير, مصر الجديدة, القاهرة.",376410
مجمعات اعلام,المدينة الجامعية للطلبة - جامعة الزقازيق,"ش فاروق, الزقازيق, الشرقية.",222320
مجمعات اعلام,المدينة الجامعية للطلبة - جامعة القاهرة,"ش ثروت, بين السرايات, الجيزة.",221742
مجمعات اعلام,المدينة الجامعية للطلبة - جامعة جنوب الوادى,"ارض الكنوز, وسط البلد, قنا.",377814
مجمعات اعلام,المدينة الجامعية للطلبة - جامعة طنطا,"طريق كفر الشيخ - سبرباى, طنطا, الغربية.",222186
مجمعات اعلام,المدينة الجامعية للطلبة - جامعة عين شمس,"ش الخليفة المأمون, عباسية, القاهرة.",376408
مجمعات اعلام,المركز القومى للبحوث,"33 ش البحوث, الدقى, الجيزة.",129853
مجمعات اعلام,المعهد العالى للخدمة الاجتماعية,"ش مستشفى الامل, بنها الجديدة, القليوبية.",377843
مجمعات اعلام,المعهد العالى للدراسات الاسلامية,"ش 26 يوليو - ميت عقبة, المهندسين, الجيزة.",165046
مجمعات اعلام,المعهد القومى للاتصالات,"5 ش محمود المليجى, الحى السادس, مدينة نصر, القاهرة.",99713
مجمعات اعلام,المعهد القومى للتدريب,"2 ش ممدوح سالم, الحى السادس, مدينة نصر, القاهرة.",224068
مجمعات اعلام,المكتبة القومية الزراعية المصرية,"7 ش نادى الصيد, الدقى, الجيزة.",379969
مجمعات اعلام,المكتبة المركزية - جامعة الازهر,"1 ش المخيم الدائم, مدينة نصر, القاهرة.",376764
مجمعات اعلام,النادى الثقافى الرياضى الاجتماعى,"مساكن عين شمس ش 6 اكتوبر, تقاطع ش احمد عرابى, عين شمس, القاهرة.",381057
مجمعات اعلام,الهيئة العامة للاستعلامات,"3 ش الاستاد البحرى, مدينة نصر, القاهرة.",2245
مجمعات اعلام,الهيئة العامة للتنمية الصناعية - العاشر من رمضان,", منطقة البنوك, العاشر من رمضان, الشرقية.",231111
مجمعات اعلام,الوحدة المحلية - ابو صوير,"ش المجلس, ابو سوير المحطة, ابو صوير المحطة, الاسماعيلية.",379163
مجمعات اعلام,الوحدة المحلية - اسنيت,"قرية اسنيت, كفر شكر, القليوبية.",382295
مجمعات اعلام,الوحدة المحلية - البدارى,"ش الجلاء, البدارى, اسيوط.",336814
مجمعات اعلام,الوحدة المحلية - البدرشين,"., البدرشين, الجيزة.",228512
مجمعات اعلام,الوحدة المحلية - الغنايم,"ش مجلس المدينة ميدان الغنايم, الغنايم, اسيوط.",348660
مجمعات اعلام,الوحدة المحلية - القوصية,"ش الجلاء, القوصية, اسيوط.",350650
مجمعات اعلام,الوحدة المحلية - المنيا,"ش كورنيش النيل, وسط البلد, المنيا.",382795
مجمعات اعلام,الوحدة المحلية - بنى غازى,"قرية بنى غنى, سمالوط, المنيا.",382789
مجمعات اعلام,الوحدة المحلية - دنشواى,"قرية دنشواى, الشهداء, المنوفية.",382556
مجمعات اعلام,الوحدة المحلية - ساحل سليم,"ش الجمهورية, ساحل سليم, اسيوط.",336810
مجمعات اعلام,الوحدة المحلية - ملوى,"ش الجلاء, ملوى, المنيا.",186821
مجمعات اعلام,الوحدة المحلية - نزلة حسين,"قرية نزلة حسين, وسط البلد, المنيا.",382792
مجمعات اعلام,بوابة الحكومة المصرية,", خدمة العملاء, العجوزة, الجيزة.",514574
مجمعات اعلام,بيت ثقافة - ابو قرقاص,"ش بورسعيد, ابو قرقاص, المنيا.",343376
مجمعات اعلام,بيت ثقافة - البتانون,"قرية البتانون, شبين الكوم, المنوفية.",339463
مجمعات اعلام,بيت ثقافة - الخانكة,"ش مجمع المحاكم, الخانكة, القليوبية.",345544
مجمعات اعلام,بيت ثقافة - شبرا بخوم,"قرية شبرا بخوم, قويسنا, المنوفية.",339458
مجمعات اعلام,بيت ثقافة - قطور,"ش المدارس, قطور, الغربية.",339163
مجمعات اعلام,بيت ثقافة - كفر شكر,"ش التحرير متفرع من ش عبد المنعم رياض, كفر شكر, القليوبية.",345538
مجمعات اعلام,بيت ثقافة - منفلوط,"ش جمال عبد الناصر ميدان القلعة, منفلوط, اسيوط.",342292
مجمعات اعلام,بيت ثقافة - ميت ابو الكوم,"ش داير الناحية - قرية ميت ابو الكوم, تلا, المنوفية.",339454
مجمعات اعلام,جمعية ابو بكر الصديق,"حى الجون, وسط البلد, الفيوم.",380845
مجمعات اعلام,جمعية اصداء للارتقاء بالصم وضعاف السمع,"87 ش دارا متفرع من ش امينة شكرى - الدور 2, سيدى جابر, الاسكندرية.",179306
مجمعات اعلام,جمعية الاسلامية للتنمية,"ش الازهر - قرية المجد, الرحمانية, البحيرة.",379602
مجمعات اعلام,جمعية الاصلاح الريفى,"قرية شابور, كوم حمادة, البحيرة.",379589
مجمعات اعلام,جمعية الايمان الخيرية,"ش المدارس, الحسينية, الشرقية.",378803
مجمعات اعلام,جمعية البر,"ميدان التحرير, كوم حمادة, البحيرة.",379576
مجمعات اعلام,جمعية البر والخدمات الاسلامية,"., الحادقة, الفيوم.",380831
مجمعات اعلام,جمعية البيئة العربية,"ش الهلال الاحمر, سموحة, الاسكندرية.",179505
مجمعات اعلام,جمعية التثقيف الفكرى للتنمية,"., الشيخ زايد, الاسماعيلية.",382041
مجمعات اعلام,جمعية الجراحين المصريين,"14 ش الخليل متفرع من ش اسراء المعلمين - ميدان لبنان, المهندسين, الجيزة.",124284
مجمعات اعلام,جمعية الجيزة للام والطفل,"22 ش سعد زغلول, امبابة, الجيزة.",179105
مجمعات اعلام,جمعية الخدمات الاجتماعية العامة,"8 ش اولاد عوف, حسن محمد, الهرم, الجيزة.",217337
مجمعات اعلام,جمعية الرعاية الاجتماعية للشباب,"ش المقريزى, دمنهور, البحيرة.",178882
مجمعات اعلام,جمعية الرعاية المتكاملة,"ش المصانع متفرع من ش جميلة بو حيريد, السيوف شماعة, الاسكندرية.",382026
مجمعات اعلام,جمعية الرعاية المتكاملة,"140 ش جمال عبد الناصر, سيدى بشر بحرى, الاسكندرية.",382033
مجمعات اعلام,جمعية السادات للتنمية والرعاية الاجتماعية,"ش بين المدارس, تلا, المنوفية.",382539
مجمعات اعلام,جمعية السلام الخيرية,"قرية نشيل, قطور, الغربية.",383728
مجمعات اعلام,جمعية السيدات المسلمات,"5 ش البرامونى, عابدين, القاهرة.",367712
مجمعات اعلام,جمعية السيدة العذراء,"ارض ادمون, دمنهور, البحيرة.",379607
مجمعات اعلام,جمعية الشابات المسلمات,"ش خالد بن الوليد, الاقصر, الاقصر.",379175
مجمعات اعلام,جمعية الشابات المسلمات,"ش صفية زغلول, بنى سويف, بنى سويف.",383700
مجمعات اعلام,جمعية الشابات المسيحية,"10 ش مسرة, روض الفرج, القاهرة.",381071
مجمعات اعلام,جمعية الشابات المسيحية,"1 ش ابراج النيل, حى شرق, اسيوط.",184576
مجمعات اعلام,جمعية الشباب المسيحية,"ش الجمهورية, ابو قرقاص, المنيا.",186725
مجمعات اعلام,جمعية الشبان المسلمين,"ش الجيش, المنصورة, الدقهلية.",181697
مجمعات اعلام,جمعية الشبان المسلمين,"ش 23 يوليو, حى غرب, اسيوط.",184603
مجمعات اعلام,جمعية الشبان المسلمين,"ش احمد عرابى, اسنا, الاقصر.",186001
مجمعات اعلام,جمعية الشبان المسلمين,"ميدان البساتين, الخارجة, الوادى الجديد.",186127
مجمعات اعلام,جمعية الشبان المسلمين - واى ام ام ايه,"12 ش رمسيس, وسط البلد, القاهرة.",381235
مجمعات اعلام,جمعية الشبان المسيحية,"ش النميس, حى شرق, اسيوط.",130904
مجمعات اعلام,جمعية الشيخ الحصرى للخدمات الدينية والاجتماعية العامة,"القطعة 1/10 - ميدان الحصرى - المحور المركزى, الحى السابع, السادس من اكتوبر, الجيزة.",112144
مجمعات اعلام,جمعية الصداقة المصرية البولندية,"5 ش ميت غمر, ميدان سفير, مصر الجديدة, القاهرة.",163302
مجمعات اعلام,جمعية الصرخة للصم,"40 ش مسرة, شبرا, القاهرة.",367819
مجمعات اعلام,جمعية الصناعات الصغيرة,"ش الحجاز المجاورة الاولى - تقاطع ش المدينة, الحى السابع, السادس من اكتوبر, الجيزة.",179973
مجمعات اعلام,جمعية الفتح الاسلامية,"ارض سلطان, وسط البلد, المنيا.",382804
مجمعات اعلام,جمعية المحافظة على القرآن الكريم,"ش محمد صالح حرب تقاطع ش عبد السلام عارف, العرب, بور سعيد.",383882
